time	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.362285189646565e-007	1.764834e-002	1.754165e-002	1.754165e-004	1.754165e-004	-1.754165e-004
1.872457037929313e-006	3.529474e-002	3.488281e-002	3.488281e-004	3.488281e-004	-3.488281e-004
2.808685556893970e-006	5.293919e-002	5.202346e-002	5.202347e-004	5.202347e-004	-5.202347e-004
3.744914075858626e-006	7.058169e-002	6.896363e-002	6.896363e-004	6.896363e-004	-6.896363e-004
4.681142594823283e-006	8.822225e-002	8.570329e-002	8.570329e-004	8.570329e-004	-8.570329e-004
5.617371113787939e-006	1.058609e-001	1.022425e-001	1.022425e-003	1.022425e-003	-1.022425e-003
6.553599632752594e-006	1.234975e-001	1.185811e-001	1.185811e-003	1.185811e-003	-1.185811e-003
1.310719926550519e-005	2.467857e-001	2.286768e-001	2.286768e-003	2.286768e-003	-2.286768e-003
2.248643398390994e-005	4.224505e-001	3.745269e-001	3.745269e-003	3.745269e-003	-3.745269e-003
3.248643398390994e-005	6.081115e-001	5.152624e-001	5.152624e-003	5.152624e-003	-5.152624e-003
4.248643398390994e-005	7.913725e-001	6.405519e-001	6.405519e-003	6.405519e-003	-6.405519e-003
5.248643398390994e-005	9.715104e-001	7.509375e-001	7.509375e-003	7.509375e-003	-7.509375e-003
6.248643398390994e-005	1.147814e+000	8.471623e-001	8.471623e-003	8.471623e-003	-8.471623e-003
7.248643398390994e-005	1.319588e+000	9.299129e-001	9.299129e-003	9.299129e-003	-9.299129e-003
8.248643398390994e-005	1.486154e+000	9.998275e-001	9.998275e-003	9.998275e-003	-9.998275e-003
9.248643398390993e-005	1.646855e+000	1.057503e+000	1.057503e-002	1.057503e-002	-1.057503e-002
1.024864339839099e-004	1.801056e+000	1.103502e+000	1.103502e-002	1.103502e-002	-1.103502e-002
1.124864339839099e-004	1.948150e+000	1.138358e+000	1.138358e-002	1.138358e-002	-1.138358e-002
1.224864339839099e-004	2.087555e+000	1.162578e+000	1.162578e-002	1.162578e-002	-1.162578e-002
1.324864339839099e-004	2.218721e+000	1.176654e+000	1.176654e-002	1.176654e-002	-1.176654e-002
1.424864339839099e-004	2.341131e+000	1.181058e+000	1.181058e-002	1.181058e-002	-1.181058e-002
1.524864339839099e-004	2.454302e+000	1.176251e+000	1.176251e-002	1.176251e-002	-1.176251e-002
1.624864339839099e-004	2.557787e+000	1.162687e+000	1.162687e-002	1.162687e-002	-1.162687e-002
1.724864339839099e-004	2.651177e+000	1.140810e+000	1.140810e-002	1.140810e-002	-1.140810e-002
1.824864339839099e-004	2.734105e+000	1.111062e+000	1.111062e-002	1.111062e-002	-1.111062e-002
1.924864339839099e-004	2.806242e+000	1.073881e+000	1.073881e-002	1.073881e-002	-1.073881e-002
2.024864339839099e-004	2.867304e+000	1.029704e+000	1.029704e-002	1.029704e-002	-1.029704e-002
2.124864339839099e-004	2.917050e+000	9.789673e-001	9.789674e-003	9.789674e-003	-9.789674e-003
2.224864339839099e-004	2.955284e+000	9.221097e-001	9.221097e-003	9.221097e-003	-9.221097e-003
2.324864339839099e-004	2.981855e+000	8.595703e-001	8.595703e-003	8.595703e-003	-8.595703e-003
2.424864339839099e-004	2.996658e+000	7.917904e-001	7.917904e-003	7.917904e-003	-7.917904e-003
2.524864339839100e-004	2.999634e+000	7.192136e-001	7.192136e-003	7.192136e-003	-7.192136e-003
2.624864339839100e-004	2.990772e+000	6.422855e-001	6.422855e-003	6.422855e-003	-6.422855e-003
2.724864339839100e-004	2.970107e+000	5.614539e-001	5.614539e-003	5.614539e-003	-5.614539e-003
2.824864339839100e-004	2.937720e+000	4.771680e-001	4.771681e-003	4.771681e-003	-4.771681e-003
2.924864339839101e-004	2.893740e+000	3.898785e-001	3.898785e-003	3.898785e-003	-3.898785e-003
3.024864339839101e-004	2.838339e+000	3.000366e-001	3.000366e-003	3.000366e-003	-3.000366e-003
3.124864339839101e-004	2.771736e+000	2.080934e-001	2.080934e-003	2.080934e-003	-2.080934e-003
3.224864339839101e-004	2.694195e+000	1.144990e-001	1.144990e-003	1.144990e-003	-1.144990e-003
3.324864339839102e-004	2.606021e+000	1.970199e-002	1.970199e-004	1.970199e-004	-1.970199e-004
3.524864339839102e-004	2.399208e+000	-1.717215e-001	-1.717215e-003	-1.717215e-003	1.717215e-003
3.724864339839103e-004	2.154557e+000	-3.626646e-001	-3.626646e-003	-3.626646e-003	3.626646e-003
3.924864339839103e-004	1.875928e+000	-5.497118e-001	-5.497118e-003	-5.497118e-003	5.497118e-003
4.124864339839104e-004	1.567714e+000	-7.295825e-001	-7.295825e-003	-7.295825e-003	7.295825e-003
4.324864339839104e-004	1.234776e+000	-8.991692e-001	-8.991692e-003	-8.991692e-003	8.991692e-003
4.524864339839105e-004	8.823654e-001	-1.055576e+000	-1.055576e-002	-1.055576e-002	1.055576e-002
4.724864339839105e-004	5.160392e-001	-1.196154e+000	-1.196154e-002	-1.196154e-002	1.196154e-002
4.924864339839105e-004	1.415748e-001	-1.318539e+000	-1.318539e-002	-1.318539e-002	1.318539e-002
5.124864339839106e-004	-2.351224e-001	-1.420678e+000	-1.420678e-002	-1.420678e-002	1.420678e-002
5.324864339839106e-004	-6.081115e-001	-1.500862e+000	-1.500862e-002	-1.500862e-002	1.500862e-002
5.524864339839107e-004	-9.715104e-001	-1.557743e+000	-1.557743e-002	-1.557743e-002	1.557743e-002
5.724864339839108e-004	-1.319588e+000	-1.590359e+000	-1.590359e-002	-1.590359e-002	1.590359e-002
5.924864339839108e-004	-1.646855e+000	-1.598141e+000	-1.598141e-002	-1.598141e-002	1.598141e-002
6.124864339839109e-004	-1.948150e+000	-1.580920e+000	-1.580920e-002	-1.580920e-002	1.580920e-002
6.324864339839109e-004	-2.218721e+000	-1.538933e+000	-1.538933e-002	-1.538933e-002	1.538933e-002
6.524864339839110e-004	-2.454302e+000	-1.472811e+000	-1.472811e-002	-1.472811e-002	1.472811e-002
6.724864339839110e-004	-2.651177e+000	-1.383572e+000	-1.383572e-002	-1.383572e-002	1.383572e-002
6.924864339839111e-004	-2.806242e+000	-1.272604e+000	-1.272605e-002	-1.272605e-002	1.272605e-002
7.124864339839111e-004	-2.917050e+000	-1.141641e+000	-1.141641e-002	-1.141641e-002	1.141641e-002
7.324864339839112e-004	-2.981855e+000	-9.927341e-001	-9.927342e-003	-9.927342e-003	9.927342e-003
7.524864339839112e-004	-2.999634e+000	-8.282207e-001	-8.282207e-003	-8.282207e-003	8.282207e-003
7.724864339839113e-004	-2.970107e+000	-6.506865e-001	-6.506865e-003	-6.506865e-003	6.506865e-003
7.924864339839113e-004	-2.893740e+000	-4.629238e-001	-4.629239e-003	-4.629239e-003	4.629239e-003
8.124864339839114e-004	-2.771736e+000	-2.678878e-001	-2.678878e-003	-2.678878e-003	2.678878e-003
8.324864339839114e-004	-2.606021e+000	-6.864937e-002	-6.864937e-004	-6.864937e-004	6.864937e-004
8.524864339839115e-004	-2.399208e+000	1.316535e-001	1.316535e-003	1.316535e-003	-1.316535e-003
8.724864339839115e-004	-2.154557e+000	3.298651e-001	3.298651e-003	3.298651e-003	-3.298651e-003
8.924864339839116e-004	-1.875928e+000	5.228623e-001	5.228623e-003	5.228623e-003	-5.228623e-003
9.124864339839116e-004	-1.567714e+000	7.076037e-001	7.076037e-003	7.076037e-003	-7.076037e-003
9.324864339839117e-004	-1.234776e+000	8.811775e-001	8.811775e-003	8.811775e-003	-8.811775e-003
9.524864339839117e-004	-8.823654e-001	1.040848e+000	1.040848e-002	1.040848e-002	-1.040848e-002
9.724864339839118e-004	-5.160392e-001	1.184098e+000	1.184098e-002	1.184098e-002	-1.184098e-002
9.924864339839119e-004	-1.415748e-001	1.308670e+000	1.308670e-002	1.308670e-002	-1.308670e-002
1.012486433983912e-003	2.351224e-001	1.412599e+000	1.412599e-002	1.412599e-002	-1.412599e-002
1.032486433983912e-003	6.081115e-001	1.494248e+000	1.494248e-002	1.494248e-002	-1.494248e-002
1.052486433983912e-003	9.715104e-001	1.552330e+000	1.552329e-002	1.552329e-002	-1.552329e-002
1.072486433983912e-003	1.319588e+000	1.585928e+000	1.585928e-002	1.585928e-002	-1.585928e-002
1.092486433983912e-003	1.646855e+000	1.594513e+000	1.594513e-002	1.594513e-002	-1.594513e-002
1.112486433983912e-003	1.948150e+000	1.577951e+000	1.577951e-002	1.577951e-002	-1.577951e-002
1.132486433983912e-003	2.218721e+000	1.536502e+000	1.536502e-002	1.536502e-002	-1.536502e-002
1.152486433983912e-003	2.454302e+000	1.470821e+000	1.470821e-002	1.470821e-002	-1.470821e-002
1.172486433983912e-003	2.651177e+000	1.381943e+000	1.381943e-002	1.381943e-002	-1.381943e-002
1.192486433983912e-003	2.806242e+000	1.271271e+000	1.271271e-002	1.271271e-002	-1.271271e-002
1.212486433983912e-003	2.917050e+000	1.140550e+000	1.140550e-002	1.140550e-002	-1.140550e-002
1.232486433983913e-003	2.981855e+000	9.918406e-001	9.918407e-003	9.918407e-003	-9.918407e-003
1.252486433983913e-003	2.999634e+000	8.274893e-001	8.274893e-003	8.274893e-003	-8.274893e-003
1.272486433983913e-003	2.970107e+000	6.500878e-001	6.500877e-003	6.500877e-003	-6.500877e-003
1.292486433983913e-003	2.893740e+000	4.624337e-001	4.624337e-003	4.624337e-003	-4.624337e-003
1.312486433983913e-003	2.771736e+000	2.674866e-001	2.674866e-003	2.674866e-003	-2.674866e-003
